Название,Дата,Unix-время,Стоимость
Роутер,2022-04-16,1650100624.034679,1282
Переезд,2022-04-16,1650100646.057293,200
Печенье,2022-04-16,1650100648.4805422,100
Мюсли,2022-04-16,1650100649.8237994,100
Сникерс,2022-04-16,1650100682.4216404,74
Мясо,2022-04-16,1650100685.8277652,65
Вода,2022-04-16,1650100692.126552,57
Батончик,2022-04-16,1650100693.5493314,17
Свинина,2022-04-16,1650100711.7474334,150
Кекс,2022-04-16,1650100713.295655,55
Блокнот,2022-04-16,1650135687.5869274,114
Переезд,2022-04-16,1650135928.6029503,50
БабушкеВафли,2022-04-16,1650135946.0835466,200
Контик,2022-04-16,1650136010.9673738,33
мясо,2022-04-22,1650627459.6218622,20
Шорты,2022-04-22,1650627485.614878,1900
Миноксидил,2022-04-22,1650627524.3323677,1000
кола,2022-04-22,1650627611.7380702,53
проезд,2022-04-22,1650627616.7672129,40
Марс,2022-04-22,1650627674.4507778,74
Мясо,2022-04-22,1650627719.3771594,60
Кекс,2022-04-22,1650627723.4394994,60
Контик,2022-04-22,1650627734.132284,35
Вода,2022-04-22,1650627735.8808799,40
проезд,2022-04-22,1650627745.6823018,40
футболка,2022-04-22,1650627748.0537705,1200
кола,2022-04-22,1650627758.3858204,65
твикс,2022-04-22,1650627759.738056,37
печенье,2022-04-22,1650627775.1698754,90
кекс,2022-04-22,1650627776.6617827,43
вода,2022-04-22,1650627778.2963321,37
